AC Kontinuum Neunundzwanzig Ressourcen jeglicher und allgemeiner Art;
Tiefe als Grundprinzip von Ressourcen;A
Abstraktion Einteilung der Ressourcen;B
Stufen zwischen Ressourcen;C
Seil Lift Fahrstuhl hin zu weg von Ressourcen;D
sinken verkleinern minimieren ausdehen zentrieren ermitteln von Ressourcen;E
erweitern vermehren suchen finden ausbeuten von Ressourcen;F
navigieren browsen schiffen Pionier Mission;G
fällen folgern abholzen Gewinnung von Ressourcen;H
nageln und auf den Punkt bringen und darauf pochen, Ressourcenarbeit oder Werken mit Ressourcen;I
festellen festlegen meinen darlegen erörtern Ressourcen betrachten und versuchen zu verstehen sich damit auseinanderzusetzen;J
sich mit den Auseinandersetzungen zu befassen ggf ironisch werden hinterfragen zu grinsen Absurditäten sehen Ressourcen als Übung und Spiel des Lebens;K
Die Nahrungskette als Hierarchie wie grosses Tier frisst isst kleines Tier und Raubtier Pflanzenfresser, die höhere Ordnung dahinter sehen ggf auch mythologische oder spirituelle esoterische oder religiöse Ordnung und höhere Geistige Nachdenkordnung und auch geistlich statt geistig mit Buchtabe L dazu Ressourcen über und Unterordnung;L
Ressourcen als Charts von Balkendiagrammen wie Prozessorleistung pro Kern oder Arbeitsspeicher Festplattenspeicher Cache Hubraum Pferdestärke Watt Wattstunde Zylinder;M
Zusammenstellung der Ressourcen und Zusammenfindung zu einer Maschine wie Automobil oder Personalcomputer des Zusammenbaus der Teile;N
Ressourcen als Gegenstand Objekt Angelegenheit untersucht zu erfassen und zu ergründen und zu vertiefen und sich nachdenkliche Gedanken darueber zu vergewissern;O
Arbeit mit Ressourcen und Ressourcen weiter zu verarbeiten als folgende Stufe der Nahrungskette erst Kern Korn dann Getreide zum Müller zermalen und dann zum Bäcker brennen erhitzen backen und dann verkaufen das Brot analog zu einer Nahrungskette oder Hierarchie ist die Nahrungsmittel Verarbeitung verallgemeinerbar auf alle Arten von Ressourcen;P
Ressourcenverarbeitung statt Weiterverarbeitung Nahrungskette Veredlung Ressourcen zu etwas Zusammenzupressen wie zu einem Produkt sozusagen das man kaufen kann;Q
Zirkulation Ressourcen im Umlauf: Recycling, Wiederverwendung, Handel, Distribution;R
Speicherung Einlagern, Puffer, Reserve, Datenbanken, Lagerhaltung;S
Transfer Transport, Verschieben, Übertragen, Logistik;T
Umwandlung Chemisch, physikalisch, informatisch – Ressource wird in eine andere Ressource konvertiert Ressourcentransformation;U
Verknappung Bewusste Begrenzung, Rationierung, Knappheitssteuerung;V
Wertsetzung Bewertung, Bepreisung, Anerkennung des Ressourcengehalts;W
Vernetzung Ressourcen in Netze, Systeme, Ökosysteme einbinden;X
Zugang, Reichweite, Nutzbarkeit, Erreichbarkeit;Y
Wettbewerb Ressourcen im Konkurrenzfeld, Marktkräfte, Verteilungskampf, Konkurrenzfeld, Marktkräfte, Verteilungskämpfe;Z
Koordination, Justierung, Synchronisation;AA
Allianz Ressourcen abstimmen, koordinieren, justieren, zeitlich zusammenführen Gemeinsame Ressourcennutzung, Kooperation, Integration;AB
Ressource wird wieder zur Basis – Kreislauf, Nachhaltigkeit, Wiederbeginn;AC
